Hashes ,File Type, Type,Original Name,Code Size,File Size,Version,String1,String2,PEType,PE Session,PE imports,PE resource,Engine1,Signature1,Engine2,Signature2,Engine3,Signature3,Detection,Entry Point,Malware Indicator
286f30563bdee40077de4d8930218063,Win32 EXE,Data,MnemosynePortable_2.3.6.paf.exe,28672,29.3 MB,2.3.6.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,43,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/68,0x000039E3,NO
294217b1dc36fefeee0de5872ab0eb70,Win32 EXE,Data,WhatChangedPortable_1.07_English.paf.exe,28672,349.9 KB,1.07.0.1,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,15,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/69,0x000039E3,NO
295da82e8158892ce144bf1f1c28a9b9,Win32 EXE,Data,HijackThisPortable_2.0.5_English.paf.exe,28672,637.7 KB,2.0.5.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,14,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/50,0x000039E3,NO
29cf10d53347d9ad007ddebaa5ca9123,Win32 EXE,Data,BabelMapPortable_8.0.0.5_English.paf.exe,28672,2.1 MB,8.0.0.5,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,15,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/55,0x000039E3,NO
2c57a93a1c6d7d7377500b8d15edc803,Win32 EXE,Data,GnumericPortable_1.12.17.paf.exe,28672,20.9 MB,1.12.17.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,42,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/55,0x000039E3,NO
2e8032f070df8f08609c07b96dfa4d05,Win32 EXE,Data,PaulStretchPortable_2.2-2_Rev_2_English.paf.exe,28672,867.0 KB,2.2.2.2,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,14,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/55,0x000039E3,NO
2fb3bf016959b6bc416f501c8724c145,Win32 EXE,Data,SpeedCrunchPortable_0.12.paf.exe,28672,8.5 MB,0.12.0.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,43,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/55,0x000039E3,NO
30a13b29bdad58dd2f653eb1b8c23fec,Win32 EXE,Data,FeedRollerPortable_0.65_English.paf.exe,28672,749.9 KB,0.65.0.0,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,14,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/75,0x000039E3,NO
cb96b01372a5ca3dfd7871519558240c,Win32 EXE,Data,WackGetPortable_1.2.4_Rev_2_English.paf.exe,28672,1.0 MB,1.2.4.2,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,14,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/50,0x000039E3,NO
315ad42496585192cfdd471ac989eb84,Win32 EXE,Data,LANMessengerPortable_1.2.35.paf.exe,28672,11.8 MB,1.2.35.1,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,22,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/77,0x000039E3,NO
50392867516da36262bf56ee9ea179a2,Win32 EXE,Data,BigSolitairesPortable_1.4_Rev_3_English.paf.exe,28672,4.0 MB,1.4.0.3,.rdata,.ndata,PE32,.text .ndata .reloc .rsrc  .data,COMCTL32.dllGDI32.dllKERNEL32.dllSHELL32.dllUSER32.dADVAPI32.dllllVERSION.dllole32.dll,14,Ad-Aware,?,AegisLab,?,Malwarebytes,?,0/53,0x000039E3,NO
c53cbfb376a4aa9147c7e59383b3bdbb,Win32 EXE,data,?,69120,108.0 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc,.dataq,.rsrc","ADVAPI32.dll,COMCTL32.dll,GDI32.dll,KERNEL32.dll,PSAPI.dll,SHELL32.dll",32,AhnLab-V3,BinImage/Locky,AegisLab,Ransom.Lockyenc.Fosdadv!c,Kaspersky,trojan-Ransom.Win32.Locky.wuh,51/58, 0x00005152,YES
bbee0caadafa666e9af58520db2166f6,Office Open XML Document,DOCM,?,?,33.0 KB,16,.rdata,.reloc,PE32,"bin,rels,xml",?,5,TrendMicro,W2KM_LOCKY.MVIL,Arcabit,HEUR.VBA.Trojan.e,ClamAV,Doc.Dropper.Agent-5293827-0,38 / 59,?,YES
14379e6182477aa3c1195167f896b361,Win32 EXE,data,?,69120,108.0 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc","ADVAPI32.dll,GDI32.dll,KERNEL32.dll,MPR.dll,NETAPI32.dll,SHELL32.dll,urlmon.dll,USER32.dll,WININET.dll",,Ad-Aware,Trojan.Ransom.Locky.U,AhnLab-V3,Trojan/Win32.Locky.R183789,ALYac,Trojan.Ransom.Locky.U,37 / 57,0x5152,YES
b58a8222d21f8931ab3f472374b7f7f0,Win32 EXE,data,?,69120,132.0 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc","ADVAPI32.dll,COMCTL32.dll,GDI32.dll,KERNEL32.dll,PSAPI.dll,SHELL32.dll",,AhnLab-V3,Trojan/Win32.Locky,Jiangmin,Trojan.Locky.il,Malwarebytes,Ransom.Locky,37/57,0x5152,YES
a4968bc9ee57ffec4109f9cb2d63e287,Win32 EXE,data,?,69120,107.5 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc","ADVAPI32.dll,msvsrt.dll,USER32.dll,KERNEL32.dll,SHELL32.dll",,CAT-QuickHeal,Ransomware.Locky.A5,Cyren,W32/Locky.NRGL-3691,F-Prot,W32/Locky.BJ,42 / 55,0x00005152,YES
e301aa46b8c194e5f921addefbbf56cb,Win32 EXE,data,Tins Shoplifter,131072,204.0 KB,0.169.169.34,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc",GDI32.dllIMM32.dllMPR.dllRASAPI32.dllSHLWAPI.dllUSER32.dllVERSION.dllWININET.dllWINMM.dllurlmon.dll,9,Ad-Aware,Gen:Variant.Locky.7,AhnLab-V3,Win-Trojan/Lockycrypt.Gen,ALYac,Gen:Variant.Locky.7,46 / 61,0x0002013A,YES
3fa1c27cbfda98a0ffb4171c3d25e40e,Win32 EXE,data,StubNew.exe,7168,110.0 KB,1.0.0.1,.rdata,.reloc,PE32,".text,.data,.rsrc,","KERNEL32.dll, MSVCRT.dll,ntdll.dll",1,AegisLab,Troj.Ransom.W32.Locky.tnc1,AhnLab-V3,Trojan/Win32.Locky.C1413689,Malwarebytes,Ransom.Locky,48 / 62,0x291c,YES
80707ae4b53e4e8f700bed252824463e,?,data,?,?,264.0 KB,?,.rdata,.reloc,PE32,".text,.data,.rsrc,",GDI32.dllIMM32.dllMPR.dllRASAPI32.dllSHLWAPI.dllUSER32.dllVERSION.dllWININET.dllWINMM.dllurlmon.dll,?,AhnLab-V3,BinImage/Lockyenc,McAfee,Ransomware-Locky.h!enc,Sophos,Troj/Locky-YL,16/62,?,YES
2a85c6d7673d685aa3d1d29b82f9b9ff,?,data,?,?,264.0 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc",GDI32.dllIMM32.dllMPR.dllRASAPI32.dllSHLWAPI.dllUSER32.dllVERSION.dllWININET.dllWINMM.dllurlmon.dll,?,AegisLab,Troj.Ransom.W32.Locky!c,Comodo,TrojWare.Win32.Ransom.FLX.A,Kaspersky,Trojan-Ransom.Win32.Locky.wve,20/45,?,YES
c84215fcb600cbe0781802f7c1efe086,?,data,?,?,268.0 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc",GDI32.dllIMM32.dllMPR.dllRASAPI32.dllSHLWAPI.dllUSER32.dllVERSION.dllWININET.dllWINMM.dllurlmon.dll,?,Kaspersky,Trojan-Ransom.Win32.Locky.wuf,Tencent,Win32.Trojan.Locky.Loib,TrendMicro,Ransom_LOCKYENC.DLDTARL,16/56,?,YES
a3ca8be2f10c31fd9482b04fff8e5f91,Office Open XML Document,data,,?,30.4 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc",GDI32.dllIMM32.dllMPR.dllRASAPI32.dllSHLWAPI.dllUSER32.dllVERSION.dllWININET.dllWINMM.dllurlmon.dll,?,TrendMicro-HouseCall,W2KM_LOCKY.DLDVES,AegisLab,W2000M.Agent.Gen!c,GData, w97m.Downloader.EBH,36/58,?,YES
c6426f906837847028dac8900aa7ba74,?,data,?,?,224.0 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc",GDI32.dllIMM32.dllMPR.dllRASAPI32.dllSHLWAPI.dllUSER32.dllVERSION.dllWININET.dllWINMM.dllurlmon.dll,?,TrendMicro,Ransom_LOCKYENC.FOSDADY,McAfee-GW-Edition,Ransomware-Locky.f!enc,Sophos,Mal/RansomDl-C,19/56,?,YES
d98ff79a04ea128bb25bccd8df561002,Win32 DLL,dll,assisant2,123904,232.5 KB,?,.rdata,.reloc,PE32,".text,.data,.rdata,.reloc",GDI32.dllIMM32.dllMPR.dllRASAPI32.dllSHLWAPI.dllUSER32.dllVERSION.dllWININET.dllWINMM.dllurlmon.dll,32,McAfee,Ransomware-Locky.h!enc,McAfee-GW-Edition,Ransomware-Locky.h!enc,TrendMicro,Ransom_LOCKYENC.FOSDADT,46/57,0x0000A049,YES
a07bf4e81a4fefce48d0da6cfe5a630b,Win32 EXE,data,?,7168,66.5 KBÊ,0.18,.rdata,.reloc,PE32,.text .data .rsrc .rdata,"KERNEL32.dll,MSVCRT.dll,MFC32.dll,USER32.dll",1,AhnLab-V3,Trojan/Win32.Locky.R203121,ClamAV,Win.Ransomware.Locky-6330799-0,Jiangmin,Trojan.Locky.dje,41/56, 0x00004D22,YES
785fdb45a8905a2b56e2cc4728b1e0e0,Win32 EXE,data,ÊReverifications,30208,170.5 KB,Ê51.60.55.44,.rdata,.reloc,PE32,.text .data .rdata .reloc,"ADVAPI32.dll,GDI32.dll,KERNEL32.dll,MPR.dll,NETAPI32.dll,SHELL32.dll,urlmon.dll,USER32.dll,WININET.dll",1,AegisLab,W32.W.Koobface.kZ1f,AhnLab-V3,Trojan/Win32.Locky,Jiangmin,Trojan.Locky.il,39 / 56,0x1000,YES
31d2bdcd2fc117b558b54e731af02a65,Win32 EXE,data,?,59904,95.5 KB,?,.rdata,.reloc,PE32,.text .rdata .data .reloc,"ADVAPI32.dll,GDI32.dll,KERNEL32.dll,MPR.dll,NETAPI32.dll,SHELL32.dll,urlmon.dll,USER32.dll,WININET.dll",?,AhnLab-V3,Trojan/Win32.Locky,Cyren,W32/Locky.NRGL-3691,Malwarebytes,Ransom.Locky, 52 / 62,Ê0x000098F1,YES
7848d43a591033c95422f4b9eb22e071, Win32 EXE,data,?,69120,99.5 KB,?,.rdata,.reloc,PE32,.text .rdata .data .reloc,,?,AhnLab-V3,Trojan/Win32.Locky,Cyren,W32/Locky.NRGL-3691,Malwarebytes,Ransom.Locky,54/62,Ê0x000017B7,YES
b06d9dd17c69ed2ae75d9e40b2631b42,Win32 EXE,data,?,?,180.0 KB,0.37.213.27,.rdata,.reloc,PE32,.text .data .rsrc,"aDVAPI32.dll,GDI32.dll,KERNEL32.dll,MPR.dll,NETAPI32.dll,SHELL32.dll,urlmon.dll,USER32.dll,WININET.dll",19,AegisLab,Troj.Ransom.W32.Locky!c,CAT-QuickHeal,TrojanRansom.Locky,Kaspersky,Trojan-Ransom.Win32.Locky.xrb,61/62,Ê0x0000C0DC,YES
e1a9b6f7285a85e682ebcad028472d13,data,data,?,4608,7176 KB,?,.rdata,.reloc,PE32,.code .text .data,"CRTDLL.dll,KERNEL32.dll,USER32.dll",?,AVware,Trojan.Win32.Locky.fs (fs),ClamAV,Win.Ransomware.Locky-33456,Microsoft,Ransom:Win32/Locky.A,49/61, 0x00001000,YES
8ccb2949a5ad3e9fa83e1d28bdc13735,data,data,?,96256,25088,5.3,.rdata,.reloc,PE32,.text .rdata .data .reloc .cdata,"ADVAPI32.dll,GDI32.dll,KERNEL32.dll,MPR.dll,NETAPI32.dll,SHELL32.dll,urlmon.dll,USER32.dll,WININET.dll",1,AVware,Trojan.Win32.Locky.fs (fs),ClamAV,Win.Ransomware.Locky-33456,Malwarebytes,Ransom.Locky,41/69, 0x0000F68B,YES
b39091b1ae870525b7c26e4c8b4658af,win32 EXE,data,?,?,114.5 KB,5.1.3.0,.rdata,.reloc,PE32,.text .rdata .data .rsrc .reloc,"ADVAPI32.dll,COMCTL32.dll,GDI32.dll,KERNEL32.dll,PSAPI.dll,SHELL32.dll",1,AhnLab-V3,Trojan/Win32.Locky.R181394,CAT-QuickHeal,Ransomware.Locky.MUE.S5,Cyren,W32/Locky.AH.gen!Eldorado,46/62,0x0000757E,YES
96e2f217e0b5125815d006006bfbd7a2,?,?,?,?,109.2KB,1.0.0.1,qf5xP1o,ZWGzzb2,?,?,?,1,Kaspersky,Trojan-Ransom.Win32.Locky.bab,McAfee,Ransomware-Locky.d!enc,ESET-NOD32,Win32/Filecoder.Locky.B,49/62,0x0000291C,YES
 2a85c6d7673d685aa3d1d29b82f9b9ff,?,?,?,?,268.0 KBÊ,5.52.0.0,h99btOss,BmhTXbSI4,?,?,?,?,TrendMicro,Ransom_LOCKYENC.FOSDADY,TrendMicro-HouseCall,Ransom_LOCKYENC.FOSDADY,McAfee,Ransomware-Locky.f!enc,5\55,0x00006F2D,YES
36cc79869bf6fb048a2c3bc274f36690,?,data,?,?,276.0 KB,?,ATsKD7xbMuq9WrNk7O341y88BT0sPKnMATsKE7xlR,k7O341y88BT0sPKnMATsKD7x2,,?,?,?,AhnLab-V3,BinImage/Locky,Kaspersky,Trojan-Ransom.Win32.Locky.wuh,McAfee,Ransomware-Locky.h!enc,20 / 56,?,YES
566064d56d836123df3c93986df62d2e,Win32 EXE,data,StubNew.exe,7168,76.0 KB,0.18,.rdata,E-Mail: konca@163.net,PE32,.text .data .rsrc .rdata,"KERNEL32.dll,MSVCRT.dll,MFC32.dll,USER32.dll",1,AhnLab-V3,Trojan/Win32.Locky.R203121,ClamAV,Win.Ransomware.Locky-6330799-0,Jiangmin,Trojan.Locky.dje,35/61,0x8a96,YES
